Comment,Designator,Footprint,LCSC,Quantity
1uH,L2,C0805,C1042,1
22uF,"C17,C20",C1206,C12891,2
INA219AIDR,U1,SOIC-8_3.9x4.9mm_P1.27mm,C138706,1
L78L33ACUTR,U8,SOT-89-3,C14170,1
100nF,"C1,C15,C18,C22,C23,C25",C0603,C14663,6
10nF,"C11,C12,C5,C7",C0402,C15195,4
10uF,"C10,C13,C16,C19,C21,C26",C0805,C15850,6
10k,"R10,R12,R13,R33,R7",C0805,C17414,5
51k,"R19,R21",C0805,C17737,2
100k,"R14,R31",C1206,C17900,2
1M,"R25,R27,R34,R35",C1206,C17927,4
1,R20,C1206,C17928,1
1k,"R1,R11,R18",C0603,C21190,3
1.2k,R5,C0603,C22765,1
KT-0805G,"D1,D2,D3",LED0805-R-RD,C2297,3
2,"R22,R23,R24,R28,R32",C0603,C22977,5
3K3,"R2,R4",C0603,C22978,2
5.1k,"R15,R16",C0603,C23186,2
82k,"R26,R30",C0603,C23254,2
1uF,"C2,C24,C3,C4,C6,C8",C0805,C28323,6
2.2uF,"C14,C9",C0805,C377773,2
2.2k,"R29,R8,R9",C0603,C4190,3
0.5m,R3,R2512,C469426,1
TPS22810DRVR,"U4,U5",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C527679,2
DRV8833PWR,"U2,U7",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,C544801,2
S9013 J3(RANGE:200-350),Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C6749,1
SS-12D11G3R,SW1,SW-TH_SS-12D11L3,C843362,1
TYPE-C-31-M-05,USBC1,USB-C-SMD_TYPE-C-USB-19,C845581,1
CH224K,U6,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
1.5uH,L1,L1008,C98034,1
JP RITERM,JP1,C1206,,1
TPS63020DSJR,U9,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,,1
TPS63020DSJR,U10,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,,1
BQ24074RGT,U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,,1
